capsuleName,messageType,messageID,second,nano
server1,TranstionEnd,0,1488235959,917013000
server1,TranstionStart,1,1488235960,60265000
server1,ClientRequest,1,,
server1,TranstionEnd,1,1488235960,109450000
server1,TranstionStart,2,1488235960,109472000
server1,ClientRequest,2,,
server1,TranstionEnd,2,1488235960,158165000
server1,TranstionStart,3,1488235960,160119000
server1,ClientRequest,3,,
server1,TranstionEnd,3,1488235960,210034000
server1,TranstionStart,4,1488235960,210098000
server1,ClientRequest,4,,
server1,TranstionEnd,4,1488235960,260579000
server1,TranstionStart,5,1488235960,260601000
server1,ClientRequest,5,,
server1,TranstionEnd,5,1488235960,309134000
server1,TranstionStart,6,1488235960,409184000
server1,ClientRequest,6,,
server1,TranstionEnd,6,1488235960,457645000
server1,TranstionStart,7,1488235960,503939000
server1,ClientRequest,7,,
server1,TranstionEnd,7,1488235960,553515000
server1,TranstionStart,8,1488235960,553544000
server1,ClientRequest,8,,
server1,TranstionEnd,8,1488235960,602582000
server1,TranstionStart,9,1488235960,799840000
server1,ClientRequest,9,,
server1,TranstionEnd,9,1488235960,846312000
server1,TranstionStart,10,1488235960,846343000
server1,ClientRequest,10,,
server1,TranstionEnd,10,1488235960,894703000
server1,TranstionStart,11,1488235961,87393000
server1,ClientRequest,11,,
server1,TranstionEnd,11,1488235961,135695000
server1,TranstionStart,12,1488235961,234263000
server1,ClientRequest,12,,
server1,TranstionEnd,12,1488235961,283580000
server1,TranstionStart,13,1488235961,283601000
server1,ClientRequest,13,,
server1,TranstionEnd,13,1488235961,331262000
server1,TranstionStart,14,1488235961,427532000
server1,ClientRequest,14,,
server1,TranstionEnd,14,1488235961,477142000
server1,TranstionStart,15,1488235961,477175000
server1,ClientRequest,15,,
server1,TranstionEnd,15,1488235961,526218000
server1,TranstionStart,16,1488235961,574886000
server1,ClientRequest,16,,
server1,TranstionEnd,16,1488235961,625960000
server1,TranstionStart,17,1488235961,917876000
server1,ClientRequest,17,,
server1,TranstionEnd,17,1488235961,964540000
server1,TranstionStart,18,1488235962,13340000
server1,ClientRequest,18,,
server1,TranstionEnd,18,1488235962,63360000
server1,TranstionStart,19,1488235962,158008000
server1,ClientRequest,19,,
server1,TranstionEnd,19,1488235962,205679000
server1,TranstionStart,20,1488235962,256488000
server1,ClientRequest,20,,
server1,TranstionEnd,20,1488235962,307457000
server1,TranstionStart,21,1488235962,450398000
server1,ClientRequest,21,,
server1,TranstionEnd,21,1488235962,499500000
server1,TranstionStart,22,1488235962,499520000
server1,ClientRequest,22,,
server1,TranstionEnd,22,1488235962,547688000
server1,TranstionStart,23,1488235962,547716000
server1,ClientRequest,23,,
server1,TranstionEnd,23,1488235962,595779000
server1,TranstionStart,24,1488235962,597647000
server1,ClientRequest,24,,
server1,TranstionEnd,24,1488235962,646542000
server1,TranstionStart,25,1488235962,646565000
server1,ClientRequest,25,,
server1,TranstionEnd,25,1488235962,696315000
server1,TranstionStart,26,1488235962,696346000
server1,ClientRequest,26,,
server1,TranstionEnd,26,1488235962,745657000
server1,TranstionStart,27,1488235962,745686000
server1,ClientRequest,27,,
